index,product_id,product_name,brand_name,swatch_group,amount_a,unit_a,price,internal_product_id,rating,product_reviews,n_loves,lvl_0_cat,lvl_1_cat,lvl_2_cat,sku,amount_b,unit_b,product_multiplier,amount_adj,unit_price,prod_size_rank
0,01018539,Master Mattes™ Liquid Eyeliner,MAKEUP BY MARIO,standard size,0.04,oz,33.0,1,3.8494,166.0,15000.0,Makeup,Eye,Eyeliner,['2389542'],1.2,ml,1.0,0.04,825.0,155.0
1,01479545,Pro Longwear Fluidline eyeliner,MAC Cosmetics,standard size,0.1,oz,32.0,1,3.9024,41.0,7200.0,Makeup,Eye,Eyeliner,['2091122' '2091114' '2091072'],3.0,g,1.0,0.1,320.0,346.0
2,04546778,Mineralize Timecheck Lotion,MAC Cosmetics,standard size,1.0,oz,62.0,1,4.5,6.0,749.0,Skincare,Moisturizers,Moisturizers,['2099588'],30.0,ml,1.0,1.0,62.0,2512.0
3,04845668,Strobe Cream,MAC Cosmetics,standard size,1.7,oz,49.0,1,4.326900000000001,52.0,10700.0,Skincare,Moisturizers,Moisturizers,['2099505' '2099513'],50.0,ml,1.0,1.7,28.823529411764707,3595.0
4,04879887,Prep + Prime Highlighter,MAC Cosmetics,standard size,0.12,oz,39.5,1,4.5714,21.0,3000.0,Makeup,Face,Highlighter,['2096923' '2096949' '2096931' '2096956'],3.6,ml,1.0,0.12,329.1666666666667,481.0
5,07184698,Mineralize Skinfinish Natural Face Powder,MAC Cosmetics,standard size,0.35,oz,54.0,1,4.2826,46.0,12100.0,Makeup,Face,Setting Spray & Powder,"['2099604' '2099612' '2099620' '2099679' '2099703' '2099711' '2099687'
 '2097962' '2093318']",10.0,g,1.0,0.35,154.2857142857143,1823.0
6,07431785,Mineralize Skinfinish Face Powder,MAC Cosmetics,standard size,0.35,oz,54.0,1,4.6522,23.0,5900.0,Makeup,Face,Highlighter,['2093664' '2093672' '2093680'],10.0,g,1.0,0.35,154.2857142857143,1824.0
7,0956,Pi Eau de Toilette,Givenchy,standard size,1.7,oz,116.0,1,4.666699999999999,138.0,6700.0,Fragrance,Men,Cologne,['288084'],50.0,ml,1.0,1.7,68.23529411764706,3596.0
8,0956,Pi Eau de Toilette,Givenchy,standard size,3.3,oz,147.0,1,4.666699999999999,138.0,6700.0,Fragrance,Men,Cologne,['288092'],100.0,ml,1.0,3.3,44.54545454545455,4997.0
9,104006,Blush/Bronzer Duo,NARS,standard size,0.35,oz,57.0,1,4.4886,2600.0,75700.0,Makeup,Cheek,Bronzer,['832642'],10.5,g,1.0,0.35,162.85714285714286,1825.0
10,104914,Dior Airflash Spray Foundation,Dior,standard size,2.3,oz,78.0,1,4.3742,4100.0,208100.0,Makeup,Face,Foundation,['2050540' '2224889' '2224897'],70.0,ml,1.0,2.3,33.913043478260875,4638.0
11,107319,Cleansing And Softening Refillable Shower Oil With Almond Oil,L'Occitane,mini size,2.5,oz,13.0,1,4.3497,1800.0,82800.0,Bath & Body,Bath & Shower,Body Wash & Shower Gel,['1317981'],75.0,ml,1.0,2.5,5.2,4671.0
13,107319,Cleansing And Softening Refillable Shower Oil With Almond Oil,L'Occitane,standard size,8.4,oz,34.0,1,4.3497,1800.0,82800.0,Bath & Body,Bath & Shower,Body Wash & Shower Gel,['763706'],250.0,ml,1.0,8.4,4.0476190476190474,6569.0
12,107319,Cleansing And Softening Refillable Shower Oil With Almond Oil,L'Occitane,refill size,16.9,oz,49.0,1,4.3497,1800.0,82800.0,Bath & Body,Bath & Shower,Body Wash & Shower Gel,['2202984'],500.0,ml,1.0,16.9,2.899408284023669,6987.0
14,109906,Lip Glacé Lip Gloss ,Laura Mercier,standard size,0.19,oz,38.0,1,4.5446,628.0,53600.0,Makeup,Lip,Lip Gloss,"['2551638' '2551620' '2551612' '2551596' '2551588' '2551570' '2551562'
 '2551604']",5.5,ml,1.0,0.19,200.0,825.0
15,109908,Translucent Loose Setting Powder,Laura Mercier,mini size,0.33,oz,30.0,1,4.5007,9400.0,848500.0,Makeup,Face,Setting Spray & Powder,['2250520' '2376572' '2250538'],9.3,g,1.0,0.33,90.9090909090909,1398.0
16,109908,Translucent Loose Setting Powder,Laura Mercier,standard size,1.0,oz,56.0,1,4.5007,9400.0,848500.0,Makeup,Face,Setting Spray & Powder,['870618' '2391464' '1926435'],29.0,g,1.0,1.0,56.0,2513.0
17,109908,Translucent Loose Setting Powder,Laura Mercier,value size,1.73,oz,63.0,1,4.5007,9400.0,848500.0,Makeup,Face,Setting Spray & Powder,['2642734'],49.0,g,1.0,1.73,36.41618497109827,4384.0
18,109911,Secret Brightening Powder for Under Eyes,Laura Mercier,standard size,0.14,oz,44.0,1,4.2626,1800.0,98000.0,Makeup,Face,Setting Spray & Powder,['870675' '2107886'],4.2,g,1.0,0.14,314.2857142857143,599.0
19,110113,for her Eau de Toilette,Narciso Rodriguez,mini size,0.25,oz,37.0,1,4.5183,656.0,26300.0,Fragrance,Women,Perfume,['1475904'],7.5,ml,1.0,0.25,148.0,1030.0
20,110113,for her Eau de Toilette,Narciso Rodriguez,standard size,1.0,oz,75.0,1,4.5183,656.0,26300.0,Fragrance,Women,Perfume,['1410737'],30.0,ml,1.0,1.0,75.0,2514.0
21,110113,for her Eau de Toilette,Narciso Rodriguez,standard size,1.6,oz,114.0,1,4.5183,656.0,26300.0,Fragrance,Women,Perfume,['860882'],50.0,ml,1.0,1.6,71.25,3377.0
22,110113,for her Eau de Toilette,Narciso Rodriguez,standard size,3.3,oz,150.0,1,4.5183,656.0,26300.0,Fragrance,Women,Perfume,['860890'],100.0,ml,1.0,3.3,45.45454545454546,4998.0
23,11134587,Lip Conditioner,MAC Cosmetics,standard size,0.5,oz,29.0,1,4.5926,27.0,2700.0,Makeup,Lip,Lip Balms & Treatments,['2099158'],15.0,ml,1.0,0.5,58.0,1993.0
24,111902,"Lights, Camera, Lashes™ 4-in-1 Mascara",tarte,mini size,0.16,oz,21.0,1,4.166899999999999,6600.0,115100.0,Makeup,Eye,Mascara,['2156420'],5.0,ml,1.0,0.16,131.25,713.0
